BreedingSite,Site_code,LU,Round,Season,Latitude,Longitude,Date_time,Water_temp,Air_temp,Humidity,Wind,Weather,Dimensions,dim1,dim2,Dimension,Dimension_cat,Habitat_class,Habitat_description,Current,WaterReservoir_material,BottomLayer,BottomLayer_cat,BottomLayer_cat2,BottomLayer_Leaves,BottomLayer_Mud,BottomLayer_Rocks/gravels,BottomLayer_Other,Depth,Edges,Turbidity,Pollution,Pollution_cat,Pollution_cat2,Pollution_Plastic/rubbish,Pollution_debris,Pollution_oil,Pollution_AnimalFaeces,Pollution_other,Water_colour,Shading,LandUse_village,LandUse_plantations,LandUse_fields,LandUse_forest,LandUse_fields_cassava,LandUse_fields_rice,LandUse_fields_vacant,LandUse_plantations_cashew,LandUse_plantations_rubber,LandUse_plantations_banana,Vegetation,Vegetation_cat,Vegetation_cat2,Vegetation_submerged,Vegetation_emerged,Vegetation_floating,Vegetation_algae,VegetationSurface,Predators,Predators_cat,Predators_cat2,Predators_Coleoptera,Predators_Hemiptera,Predators_Odonata,Predators_Crustacean,Predators_MsqLarvae,Predators_Fish,Predators_other,Predators_Coleoptera_Dysticidae,Predators_Coleoptera_Hydrophilidae,Predators_Hemiptera_Notonectae,Predators_Hemiptera_Corixidae,Predators_Hemiptera_Nepidae,Predators_Hemiptera_unidentified,Predators_Hemiptera_other,Predators_Odonata_Dragonflies,Predators_Odonata_Damselflies,Predators_Odonata_unidentified,Predators_Odonata_other,Predators_Crustacean_Cyclopoids,Predators_MsqLarvae_Toxorynchites,Predators_other_1,Animals,Animals_amphibian,Animals_domestic,Animals_other,VisiblePeople,Remarks,Mosquito,Unidentified,NonAnopheles,NonAnopheles_genus,NonAnopheles_genus2,Aedes,Armigeres,Culex,Malaya,Tripteroides,Anopheles,Anopheles_SppNb,Anopheles_barbirostris,Anopheles_hyrcanus,Anopheles_indefinitus,Anopheles_jamesii,Anopheles_kochi,Anopheles_maculatus,Anopheles_nivipes,Anopheles_philippinensis,Anopheles_pyretophorus,Anopheles_subpictus,Anopheles_unidentified,Anopheles_vagus
V06-G048,V06,village,4,Rainy,12.1805832,106.8732777,08/08/2020 09:28,29.4,32.7,NA,Little,Cloudy,140*120,140,120,16800,Medium,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-AnimalFaeces,Yes,No,No,Yes,No,Brown,None,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Out of site,1,0,1,Culex,Culex,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,1
V06-G052,V06,village,4,Rainy,12.1804684,106.8733748,08/08/2020 11:17,32.8,32.9,NA,Little,Cloudy,370*300,370,300,111000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-AnimalFaeces,Yes,No,No,Yes,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Out of site,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G054,V06,village,4,Rainy,12.1804254,106.8733576,08/08/2020 12:07,34.3,31.7,NA,No,Cloudy,500*250,500,250,125000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-AnimalFaeces,Yes,No,No,Yes,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Out of site,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G057,V06,village,4,Rainy,12.1804221,106.8733128,08/08/2020 12:53,32.8,25.3,NA,Medium,Rainy,300*150,300,150,45000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-AnimalFaeces,Yes,No,No,Yes,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Out of site,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH02-G033,FIH02,fields,4,Rainy,12.1520927,106.8520511,11/08/2020 09:18,28.5,30.7,63.4,No,Cloudy,70*55,70,55,3850,Medium,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,Medium,No,None,None,No,No,No,No,No,Grey,Partial,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,5;25,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,NA,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH03-G065,FIH03,fields,4,Rainy,12.1767666,106.8718251,31/07/2020 11:02,28.5,28,89.4,No,Rainy,335*169,335,169,56615,Large,Stagnant temporary water bodies,Rice paddies,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Shallow,High,No,None,None,No,No,No,No,No,Brown,Partial,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,5;25,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,NA,1,0,1,Culex,Culex,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
V05-G036,V05,village,4,Rainy,12.1886395,106.8431431,10/08/2020 10:18,31.9,30.1,NA,Medium,Cloudy,6300*2200,6300,2200,13860000,VeryLarge,Stagnant temporary water bodies,Rice paddies,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,Medium,Yes,Oil,Oil,No,No,Yes,No,No,Grey,Partial,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,50;75,Yes,Multiple,Multiple,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Mayfly,No,No,No,Yes,Yes,No,No,No,NA,1,0,1,Culex,Culex,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,1
V06-G056,V06,village,4,Rainy,12.1804276,106.8734606,08/08/2020 12:40,36.1,27.9,NA,Medium,Rainy,320*210,320,210,67200,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-AnimalFaeces,Yes,No,No,Yes,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,<5,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Out of site,1,0,1,Culex,Culex,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0
PL01-G005,PL01,plantations,1,Rainy,12.1835496,106.772826,02/11/2019 10:35,32.6,36.8,48.4,No,Sunny,275*11500,275,11500,3162500,VeryLarge,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-oil,Yes,No,Yes,No,No,Brown,Partial,No,Yes,No,No,NA,NA,NA,NA,NA,NA,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,50;75,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Few,Ditch alongside the road between rubber tree plantations,1,0,1,Culex,Culex,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0
PL01-G003,PL01,plantations,1,Rainy,12.1835427,106.7728603,02/11/2019 10:38,27.9,31.6,74.7,Little,Sunny,200 large,200,10000,2000000,VeryLarge,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud-Rocks,Yes,Yes,Yes,No,Deep,Abrupt,High,No,None,None,No,No,No,No,No,Brown,Partial,No,Yes,No,No,NA,NA,NA,NA,NA,NA,Yes,Multiple,Submerged-Emerged,Yes,Yes,No,No,<5,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Few,Along the road,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH03-G014,FIH03,fields,1,Rainy,12.1754956,106.8719594,01/11/2019 15:58,30.4,34.2,70,No,Sunny,200*140,200,140,28000,Medium,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Shallow,Medium,No,None,None,No,No,No,No,No,Brown,Partial,No,No,Yes,No,NA,NA,NA,NA,NA,NA,Yes,Multiple,Submerged-Emerged,Yes,Yes,No,No,25;50,Yes,Multiple,Multiple,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,One clean puddle near other oily polluted ones,1,0,1,Culex,Culex,0,0,1,0,0,1,3,0,0,0,1,0,0,0,1,0,1,0,0
FIH03-G015,FIH03,fields,1,Rainy,12.1756537,106.871932,01/11/2019 16:34,29.1,33.3,78.6,No,Sunny,NA,10000,10000,100000000,VeryLarge,Running water,Streams,Yes,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Shallow,Medium,No,None,None,No,No,No,No,No,Brown,None,No,No,Yes,No,NA,NA,NA,NA,NA,NA,Yes,Multiple,Submerged-Emerged,Yes,Yes,No,No,5;25,Yes,Multiple,Multiple,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,None,1,0,1,Culex,Culex,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
V06-G074,V06,village,4,Rainy,12.18072222,106.8734722,07/08/2020 11:48,31.9,36.7,43.6,No,Sunny,2600*400,2600,400,1040000,VeryLarge,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,High,Yes,Plastic,Plastic,Yes,No,No,No,No,Brown,None,Yes,No,No,No,No,No,No,No,No,No,Yes,Multiple,Submerged-Emerged,Yes,Yes,No,Yes,25;50,Yes,Multiple,Multiple,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,NA,Yes,Yes,Yes,No,Few,NA,1,0,1,Culex,Culex,0,0,1,0,0,1,5,0,0,1,0,1,0,0,0,0,1,1,1
FIH03-G012,FIH03,fields,1,Rainy,12.1767519,106.8717719,01/11/2019 15:02,36,35.2,92.4,No,Sunny,32000*23000,32000,23000,736000000,VeryLarge,Stagnant temporary water bodies,Rice paddies,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Abrupt,Little,No,None,None,No,No,No,No,No,Brown,None,No,No,Yes,No,NA,Yes,NA,NA,NA,NA,Yes,Multiple,Submerged-Emerged-Floating,Yes,Yes,Yes,No,75;100,Yes,Multiple,Multiple,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Few,None,1,0,1,Culex,Culex,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0
FIH03-G013,FIH03,fields,1,Rainy,12.176593,106.8718152,01/11/2019 15:30,30.5,32.3,88.5,No,Sunny,21000*12000,21000,12000,252000000,VeryLarge,Stagnant temporary water bodies,Rice paddies,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,Little,No,None,None,No,No,No,No,No,Brown,Partial,No,No,Yes,No,NA,Yes,NA,NA,NA,NA,Yes,Multiple,Submerged-Emerged-Floating,Yes,Yes,Yes,No,75;100,Yes,Multiple,Multiple,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Only a part of the rice field was with water. Two samples : anopheles and other.,1,0,1,Culex,Culex,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0
FIL03-G002,FIL03,plantations,1,Rainy,12.1790575,106.9170045,15/10/2019 09:52,26.4,33.3,55.1,No,Sunny,150*13,150,13,1950,Small,Stagnant temporary water bodies,Road tracks,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,Medium,No,None,None,No,No,No,No,No,Brown,Partial,No,Yes,No,No,NA,NA,NA,Yes,NA,NA,No,None,None,No,No,No,No,NA,Yes,Multiple,Multiple,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,None,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH04-G001,FIH04,fields,1,Rainy,12.1827743,106.922626,16/10/2019 10:04,37.6,36.8,58.8,Little,Sunny,360*20,360,20,7200,Medium,Stagnant temporary water bodies,Road tracks,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,Medium,No,None,None,No,No,No,No,No,Brown,None,No,Yes,No,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Dipping 1 with cup  Breeding site: temporary next to a stream,1,0,1,Culex,Culex,0,0,1,0,0,1,4,0,0,1,1,0,1,0,0,0,0,1,0
FIH03-G001,FIH03,fields,1,Rainy,12.1765323,106.8723556,01/11/2019 14:52,27.6,30.7,69.6,No,Sunny,84*64,84,64,5376,Medium,Stagnant temporary water bodies,Rice paddies,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,None,Yes,Oil,Oil,No,No,Yes,No,No,Brown,Partial,No,No,Yes,No,NA,NA,NA,NA,NA,NA,Yes,Algae,Algae,No,No,No,Yes,<5,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH03-G033,FIH03,fields,4,Rainy,12.1758181,106.8718956,31/07/2020 10:47,26.9,29.4,99.9,No,Rainy,300*280,300,280,84000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,Little,No,None,None,No,No,No,No,No,Transparent,Partial,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,25;50,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,NA,1,0,1,Culex,Culex,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
FIH03-G069,FIH03,fields,4,Rainy,12.1763449,106.8720785,31/07/2020 13:37,26,25.3,98.6,No,Rainy,930*920,930,920,855600,VeryLarge,Stagnant temporary water bodies,Road tracks,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Shallow,High,No,None,None,No,No,No,No,No,Brown,None,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,5;25,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,NA,1,0,1,Culex,Culex,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
FIH03-G005,FIH03,fields,1,Rainy,12.1763035,106.8719551,01/11/2019 16:10,31.5,33.4,79.1,No,Sunny,290*60,290,60,17400,Medium,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,None,Yes,Oil,Oil,No,No,Yes,No,No,Transparent,Partial,No,No,Yes,No,NA,NA,NA,NA,NA,NA,Yes,Emerged,Emerged,No,Yes,No,No,<5,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,1,0,1,Culex,Culex,0,0,1,0,0,1,3,0,0,0,1,0,0,0,1,0,0,1,0
FOH02-G060,FOH02,forest,4,Rainy,12.23672222,106.8773611,03/08/2020 08:46,25,25.7,NA,Little,Cloudy,30*3,30,3,90,VerySmall,Natural containers,Tree holes,NA,NA,Yes,Leaves,Leaves-rocks,Yes,No,Yes,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Complete,No,No,No,Yes,No,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V05-G003,V05,village,1,Rainy,12.1886037,106.8428896,29/10/2019 09:29,28.7,31.8,55,Medium,Sunny,439*27,439,27,11853,Medium,Stagnant temporary water bodies,Road tracks,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,High,No,None,None,No,No,No,No,No,Brown,None,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,Not determined,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Presence of coleoptera (could not determine if it was a predator),1,0,1,Culex,Culex,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0
V06-G015,V06,village,1,Rainy,12.1805278,106.8734171,01/11/2019 10:35,33.5,37.1,70.1,Little,Cloudy,187*143,187,143,26741,Medium,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,High,No,None,None,No,No,No,No,No,Brown,None,Yes,No,Yes,Yes,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,Not determined,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Few,Sampling with pipette.,1,0,1,Culex,Culex,0,0,1,0,0,1,4,0,0,1,0,0,0,0,0,0,1,1,1
PL04-G003,PL04,plantations,1,Rainy,12.1743684,106.8744477,01/11/2019 13:35,29.6,32.8,59.4,No,Sunny,3*4,3,4,12,VerySmall,Natural containers,Bamboo holes,NA,NA,Yes,None,None,No,No,No,Organic unidentified,Shallow,Abrupt,Medium,No,None,None,No,No,No,No,No,Black,Complete,No,Yes,No,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Spiders,No,None,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G035,V06,village,4,Rainy,12.1811803,106.8745542,07/08/2020 09:37,26.3,28.7,85.4,Little,Cloudy,21*17,21,17,357,Small,Artificial containers,"Plastic, plastic bottle, rubbish",NA,NA,No,None,None,No,No,No,No,Shallow,Shallow,Medium,No,None,None,No,No,No,No,No,Grey,Partial,Yes,No,No,No,No,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,NA,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G003,FIL01,fields,1,Rainy,12.1332703,106.9113058,30/10/2019 10:18,29.1,36.2,53.1,Little,Sunny,10*7,10,7,70,VerySmall,Natural containers,Tree holes,NA,NA,Yes,Leaves,Leaves,Yes,No,No,Wood,Deep,Abrupt,Little,Yes,Oil,Oil,No,No,Yes,No,No,Brown,Partial,No,No,Yes,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Undetermined big white larva,No,Deep hole.20cm before to have water. Shading provided by the tree hole itself. 30 cm deep. Not possible to put the dip inside. Huge cassava field.,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G047,V06,village,4,Rainy,12.1804628,106.8732799,08/08/2020 08:51,27.6,32.7,NA,Little,Cloudy,145*110,145,110,15950,Medium,Natural containers,Rock pools,NA,NA,Yes,Composite,Leaves-Mud-Rocks,Yes,Yes,Yes,No,Deep,Shallow,Medium,Yes,Plastic,Plastic,Yes,No,No,No,No,Transparent,None,Yes,No,No,No,No,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Out of site,1,0,1,Culex,Culex,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1
FIH03-G063,FIH03,fields,4,Rainy,12.1768392,106.8718116,31/07/2020 09:59,28,28.2,99.9,No,Rainy,350*213,350,213,74550,Large,Stagnant temporary water bodies,Rice paddies,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,No,None,None,No,No,No,No,No,Brown,Partial,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,25;50,Yes,Odonata,Odonata,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Few,NA,1,0,1,Culex,Culex,0,0,1,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0
FIH03-G067,FIH03,fields,4,Rainy,12.1765843,106.8718824,31/07/2020 11:55,29.2,30.9,88.7,No,Rainy,262*223,262,223,58426,Large,Stagnant temporary water bodies,Rice paddies,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Shallow,High,No,None,None,No,No,No,No,No,Brown,None,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,<5,Yes,Odonata,Odonata,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,NA,1,0,1,Culex,Culex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH03-G009,FIH03,fields,1,Rainy,12.1754356,106.8719836,01/11/2019 16:18,30.2,33.1,80.2,No,Sunny,30*15,3,15,45,VerySmall,Stagnant temporary water bodies,Marshes,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,Medium,Yes,Oil,Oil,No,No,Yes,No,No,Brown,Partial,No,No,Yes,No,NA,NA,NA,NA,NA,NA,Yes,Multiple,Submerged-Emerged,Yes,Yes,No,No,25;50,Yes,Odonata,Odonata,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Many small pools with oily surface,1,0,1,Culex,Culex,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0
V06-G010,V06,village,1,Rainy,12.18188,106.874912,01/11/2019 10:37,30.2,31.5,58.6,Little,Sunny,2*2,2,2,4,VerySmall,Natural containers,Plants' axils and leaves,NA,NA,No,None,None,No,No,No,No,Shallow,Abrupt,None,No,None,None,No,No,No,No,No,Transparent,Complete,Yes,No,No,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sample is a set of 3 axils of a banana tree.,1,0,1,NA,Malaya,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G045,V06,village,4,Rainy,12.1806121,106.873232,07/08/2020 11:44,31.5,37.4,46.9,No,Cloudy,200*220,200,220,44000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-AnimalFaeces,Yes,No,No,Yes,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,5;25,Yes,Multiple,Multiple,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Few,Out of site,1,1,1,Multiple,Multiple,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,1
V06-G046,V06,village,4,Rainy,12.1805566,106.8732839,07/08/2020 12:02,31.2,36,65.1,Little,Cloudy,700*310,700,310,217000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,Medium,Yes,Multiple,Plastic-AnimalFaeces,Yes,No,No,Yes,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,25;50,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Few,Out of site,1,1,1,Multiple,Multiple,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0
V06-G053,V06,village,4,Rainy,12.1804254,106.8733576,08/08/2020 11:35,34.5,30.2,NA,Little,Cloudy,1220*320,1220,320,390400,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-AnimalFaeces,Yes,No,No,Yes,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Out of site,1,1,1,Multiple,Multiple,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
