ID,COUNTRY_NAME,ISO2,ADMIN1,ADMIN2,SITE_NAME,SITE_CODE,LATITUDE,LONGITUDE,TEST_TYPE,INSECTICIDE_CLASS,INSECTICIDE_CONC,INSECTICIDE_INTENSITY,INSECTICIDE_TYPE,YEAR_START,VECTOR_SPECIES,STAGE_ORIGIN,MOSQUITO_NUMBER,TIME_HOLDING_POSTEXPOSURE,MORTALITY_ADJUSTED,RESISTANCE_INTENSITY,DATA_SOURCE,CITATION,CITATION_URL,DATA_CURATOR
IR000050621,Democratic Republic of the Congo,CD,Kinshasa,Ndjili,Kingasani,IRCD19,-4.404957,15.371885,"CDC bottle bioassay, adults",Pyrethroids,62.5µg,5,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,99,Low intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050634,Democratic Republic of the Congo,CD,Tshopo,Makiso-Kisangani,Kabondo,IRCD6,0.51306,25.217662,"CDC bottle bioassay, adults",Pyrethroids,215µg,10,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,42,High intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050639,Democratic Republic of the Congo,CD,Sud-Kivu,Katana,Katana,IRCD12,-2.2231,28.8315,"CDC bottle bioassay, adults",Pyrethroids,107.5µg,5,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,35,Moderate to high intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050646,Democratic Republic of the Congo,CD,Maindombe,Inongo,Inongo,IRCD5,-1.928852,18.266101,"CDC bottle bioassay, adults",Pyrethroids,215µg,10,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,16,High intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050968,Burkina Faso,BF,Banfora,Banfora,Tengrela,IRBF56,10.651883,-4.824417,WHO tube test,Pyrethroids,0.05%,1,Deltamethrin,2018,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),149,undefined,2.01,N/A,Liverpool School of Tropical Medicine (LSTM) - Centre National de Recherche et de Formation sur le Paludisme (CNRFP),Hughes et al. (2020) Anopheles gambiae populations from Burkina Faso show minimal delayed mortality after exposure to insecticide-treated nets. Parasit Vectors. 2020; 13: 17.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6954553/,World Health Organization
IR000050990,India,IN,Odisha,Malakangiri,Malkangiri,IRIN132,18.1641,81.9535,WHO tube test,Pyrethroids,0.50%,5,Deltamethrin,2019,An. culicifacies s.l.,UNDEFINED,100,undefined,100,Low intensity,Not available,"Sahu et al. (2020) Intensity of pyrethroid resistance in Anopheles culicifacies s.l. (Diptera: Culicidae) in Odisha State, India. Pathog Glob Health. 2020 May 18;114(4):205-211.",https://pubmed.ncbi.nlm.nih.gov/32275488/,World Health Organization
IR000050994,India,IN,Odisha,Nabarangpur,Nabarangpur,IRIN462,19.2333,82.55,WHO tube test,Pyrethroids,0.05%,1,Deltamethrin,2019,An. culicifacies s.l.,UNDEFINED,100,undefined,74,N/A,Not available,"Sahu et al. (2020) Intensity of pyrethroid resistance in Anopheles culicifacies s.l. (Diptera: Culicidae) in Odisha State, India. Pathog Glob Health. 2020 May 18;114(4):205-211.",https://pubmed.ncbi.nlm.nih.gov/32275488/,World Health Organization
IR000050998,India,IN,Odisha,Kandhamal,Kandhamal,IRIN88,20.1226,84.0401,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2019,An. culicifacies s.l.,UNDEFINED,100,undefined,94,Moderate to high intensity,Not available,"Sahu et al. (2020) Intensity of pyrethroid resistance in Anopheles culicifacies s.l. (Diptera: Culicidae) in Odisha State, India. Pathog Glob Health. 2020 May 18;114(4):205-211.",https://pubmed.ncbi.nlm.nih.gov/32275488/,World Health Organization
IR000051013,India,IN,Odisha,Ganjam,Ganjam District,IRIN68,19.6218,84.6587,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2019,An. culicifacies s.l.,UNDEFINED,100,undefined,97,Moderate to high intensity,Not available,"Sahu et al. (2020) Intensity of pyrethroid resistance in Anopheles culicifacies s.l. (Diptera: Culicidae) in Odisha State, India. Pathog Glob Health. 2020 May 18;114(4):205-211.",https://pubmed.ncbi.nlm.nih.gov/32275488/,World Health Organization
IR000051014,India,IN,Odisha,Ganjam,Ganjam District,IRIN68,19.6218,84.6587,WHO tube test,Pyrethroids,0.50%,5,Deltamethrin,2019,An. culicifacies s.l.,UNDEFINED,100,undefined,100,Low intensity,Not available,"Sahu et al. (2020) Intensity of pyrethroid resistance in Anopheles culicifacies s.l. (Diptera: Culicidae) in Odisha State, India. Pathog Glob Health. 2020 May 18;114(4):205-211.",https://pubmed.ncbi.nlm.nih.gov/32275488/,World Health Organization
IR000050648,Democratic Republic of the Congo,CD,Haut Katanga,Kambove,Kapolowe,IRCD9,-10.934159,26.953514,"CDC bottle bioassay, adults",Pyrethroids,107.5µg,5,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,10,Moderate to high intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050658,Democratic Republic of the Congo,CD,Sud-Kivu,Katana,Katana,IRCD12,-2.2231,28.8315,"CDC bottle bioassay, adults",Pyrethroids,125µg,10,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,98,Low intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050662,Democratic Republic of the Congo,CD,Maindombe,Inongo,Inongo,IRCD5,-1.928852,18.266101,"CDC bottle bioassay, adults",Pyrethroids,12.5µg,1,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,65,N/A,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050663,Democratic Republic of the Congo,CD,Maindombe,Inongo,Inongo,IRCD5,-1.928852,18.266101,"CDC bottle bioassay, adults",Pyrethroids,62.5µg,5,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,100,Low intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050562,Democratic Republic of the Congo,CD,Kinshasa,Ndjili,Kingasani,IRCD19,-4.404957,15.371885,"CDC bottle bioassay, adults",Pyrethroids,125µg,10,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,100,Low intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050586,Democratic Republic of the Congo,CD,Kinshasa,Mont-Ngafula I,Bu,IRCD3,-4.4419,15.2663,"CDC bottle bioassay, adults",Pyrethroids,215µg,10,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,8,High intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050599,Democratic Republic of the Congo,CD,Kinshasa,Mont-Ngafula I,Bu,IRCD3,-4.4419,15.2663,"CDC bottle bioassay, adults",Pyrethroids,12.5µg,1,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,35,N/A,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050610,Democratic Republic of the Congo,CD,Kinshasa,Nsele,Kinkole,IRCD20,-4.3368,15.5127,"CDC bottle bioassay, adults",Pyrethroids,215µg,10,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,65,High intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050622,Democratic Republic of the Congo,CD,Kinshasa,Ndjili,Kingasani,IRCD19,-4.404957,15.371885,"CDC bottle bioassay, adults",Pyrethroids,125µg,10,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,100,Low intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050630,Democratic Republic of the Congo,CD,Kinshasa,Mont-Ngafula I,Bu,IRCD3,-4.4419,15.2663,"CDC bottle bioassay, adults",Pyrethroids,62.5µg,5,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,83,Moderate to high intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000045101,Ethiopia,ET,SNNP,Sidama,Wondogenet,IRET113,7.0842,38.6189,"CDC bottle bioassay, adults",Pyrethroids,12.5µg,1,Deltamethrin,2014,An. arabiensis,F0_ADULTS_(FROM_WILD_LARVAE),20,undefined,20,N/A,Not available,Messenger et al. (2017) Insecticide resistance in Anopheles arabiensis from Ethiopia (2012-2016): a nationwide study for insecticide resistance monitoring. Malar J. 2017 Nov 18;16(1):469,https://www.ncbi.nlm.nih.gov/pubmed/29151024,World Health Organization
IR000045121,Ethiopia,ET,Oromiya,East Shewa,Batu,IRET119,7.933333,38.716667,"CDC bottle bioassay, adults",Pyrethroids,215µg,10,Permethrin,2014,An. arabiensis,F0_ADULTS_(FROM_WILD_LARVAE),20,undefined,100,Low intensity,Not available,Messenger et al. (2017) Insecticide resistance in Anopheles arabiensis from Ethiopia (2012-2016): a nationwide study for insecticide resistance monitoring. Malar J. 2017 Nov 18;16(1):469,https://www.ncbi.nlm.nih.gov/pubmed/29151024,World Health Organization
IR000045143,Ethiopia,ET,Oromiya,East Wellega,Abedogoro,IRET134,9.333352,36.493296,"CDC bottle bioassay, adults",Pyrethroids,107.5µg,5,Permethrin,2015,An. arabiensis,F0_ADULTS_(FROM_WILD_LARVAE),22,undefined,96,Moderate to high intensity,Not available,Messenger et al. (2017) Insecticide resistance in Anopheles arabiensis from Ethiopia (2012-2016): a nationwide study for insecticide resistance monitoring. Malar J. 2017 Nov 18;16(1):469,https://www.ncbi.nlm.nih.gov/pubmed/29151024,World Health Organization
IR000045163,Ethiopia,ET,Oromiya,Ilu Aba Bora,Chewaka,IRET31,8.275,35.7558,"CDC bottle bioassay, adults",Pyrethroids,107.5µg,5,Permethrin,2015,An. arabiensis,F0_ADULTS_(FROM_WILD_LARVAE),10,undefined,100,Low intensity,Not available,Messenger et al. (2017) Insecticide resistance in Anopheles arabiensis from Ethiopia (2012-2016): a nationwide study for insecticide resistance monitoring. Malar J. 2017 Nov 18;16(1):469,https://www.ncbi.nlm.nih.gov/pubmed/29151024,World Health Organization
IR000045179,Ethiopia,ET,SNNP,Kembata Tembaro,Kachabira,IRET63,7.25,37.75,"CDC bottle bioassay, adults",Pyrethroids,125µg,10,Deltamethrin,2015,An. arabiensis,F0_ADULTS_(FROM_WILD_LARVAE),20,undefined,95,High intensity,Not available,Messenger et al. (2017) Insecticide resistance in Anopheles arabiensis from Ethiopia (2012-2016): a nationwide study for insecticide resistance monitoring. Malar J. 2017 Nov 18;16(1):469,https://www.ncbi.nlm.nih.gov/pubmed/29151024,World Health Organization
IR000045180,Ethiopia,ET,SNNP,Kembata Tembaro,Kachabira,IRET63,7.25,37.75,"CDC bottle bioassay, adults",Pyrethroids,62.5µg,5,Deltamethrin,2015,An. arabiensis,F0_ADULTS_(FROM_WILD_LARVAE),20,undefined,85,Moderate to high intensity,Not available,Messenger et al. (2017) Insecticide resistance in Anopheles arabiensis from Ethiopia (2012-2016): a nationwide study for insecticide resistance monitoring. Malar J. 2017 Nov 18;16(1):469,https://www.ncbi.nlm.nih.gov/pubmed/29151024,World Health Organization
IR000050517,Democratic Republic of the Congo,CD,Kinshasa,Ndjili,Kingasani,IRCD19,-4.404957,15.371885,"CDC bottle bioassay, adults",Pyrethroids,215µg,10,Permethrin,2016,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,100,Low intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050518,Democratic Republic of the Congo,CD,Kinshasa,Nsele,Kinkole,IRCD20,-4.3368,15.5127,"CDC bottle bioassay, adults",Pyrethroids,21.5µg,1,Permethrin,2016,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,5,N/A,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050542,Democratic Republic of the Congo,CD,Kongo Central,Masa,Kasangulu,IRCD11,-4.5888,15.1668,"CDC bottle bioassay, adults",Pyrethroids,21.5µg,1,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,1,N/A,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050545,Democratic Republic of the Congo,CD,Kinshasa,Ndjili,Kingasani,IRCD19,-4.404957,15.371885,"CDC bottle bioassay, adults",Pyrethroids,21.5µg,1,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,0,N/A,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050665,Democratic Republic of the Congo,CD,Haut Katanga,Kambove,Kapolowe,IRCD9,-10.934159,26.953514,"CDC bottle bioassay, adults",Pyrethroids,12.5µg,1,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,23,N/A,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050671,Democratic Republic of the Congo,CD,Sankuru,Lodja,Lodja,IRCD22,-3.526871,23.599733,WHO tube test,Pyrethroids,0.75%,1,Permethrin,2018,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,89,N/A,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050673,Democratic Republic of the Congo,CD,Sankuru,Lodja,Lodja,IRCD22,-3.526871,23.599733,WHO tube test,Pyrethroids,7.50%,10,Permethrin,2018,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,97,High intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050682,Democratic Republic of the Congo,CD,Kongo Central,Kimpese,Kimpese,IRCD16,-5.559265,14.446625,WHO tube test,Pyrethroids,7.50%,10,Permethrin,2018,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,100,Low intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050684,Democratic Republic of the Congo,CD,Maindombe,Inongo,Inongo,IRCD5,-1.928852,18.266101,WHO tube test,Pyrethroids,3.75%,5,Permethrin,2018,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,100,Low intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050691,Democratic Republic of the Congo,CD,Kasai Central,Mikalayi,Mikalayi,IRCD24,-6.025361,22.319498,WHO tube test,Pyrethroids,7.50%,10,Permethrin,2018,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,100,Low intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000045183,Ethiopia,ET,SNNP,Kembata Tembaro,Kachabira,IRET63,7.25,37.75,"CDC bottle bioassay, adults",Pyrethroids,215µg,10,Permethrin,2015,An. arabiensis,F0_ADULTS_(FROM_WILD_LARVAE),20,undefined,100,Low intensity,Not available,Messenger et al. (2017) Insecticide resistance in Anopheles arabiensis from Ethiopia (2012-2016): a nationwide study for insecticide resistance monitoring. Malar J. 2017 Nov 18;16(1):469,https://www.ncbi.nlm.nih.gov/pubmed/29151024,World Health Organization
IR000045192,Ethiopia,ET,Oromiya,East Shewa,Batu,IRET119,7.933333,38.716667,"CDC bottle bioassay, adults",Pyrethroids,215µg,10,Permethrin,2015,An. arabiensis,F0_ADULTS_(FROM_WILD_LARVAE),10,undefined,100,Low intensity,Not available,Messenger et al. (2017) Insecticide resistance in Anopheles arabiensis from Ethiopia (2012-2016): a nationwide study for insecticide resistance monitoring. Malar J. 2017 Nov 18;16(1):469,https://www.ncbi.nlm.nih.gov/pubmed/29151024,World Health Organization
IR000050642,Democratic Republic of the Congo,CD,Kasai Central,Mikalayi,Mikalayi,IRCD24,-6.025361,22.319498,"CDC bottle bioassay, adults",Pyrethroids,107.5µg,5,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,18,Moderate to high intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050666,Democratic Republic of the Congo,CD,Haut Katanga,Kambove,Kapolowe,IRCD9,-10.934159,26.953514,"CDC bottle bioassay, adults",Pyrethroids,62.5µg,5,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,60,Moderate to high intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050569,Democratic Republic of the Congo,CD,Kinshasa,Mont-Ngafula I,Bu,IRCD3,-4.4419,15.2663,"CDC bottle bioassay, adults",Pyrethroids,12.5µg,1,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,72,N/A,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050570,Democratic Republic of the Congo,CD,Kinshasa,Mont-Ngafula I,Bu,IRCD3,-4.4419,15.2663,"CDC bottle bioassay, adults",Pyrethroids,62.5µg,5,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,100,Low intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050573,Democratic Republic of the Congo,CD,Kongo Central,Masa,Kasangulu,IRCD11,-4.5888,15.1668,"CDC bottle bioassay, adults",Pyrethroids,107.5µg,5,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,10,Moderate to high intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000050576,Democratic Republic of the Congo,CD,Kinshasa,Ndjili,Kingasani,IRCD19,-4.404957,15.371885,"CDC bottle bioassay, adults",Pyrethroids,107.5µg,5,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,15,Moderate to high intensity,Institute National de Recherche Biomédicale (INRB),Wat’senga et al. (2020) Intensity of pyrethroid resistance in Anopheles gambiae before and after a mass distribution of insecticide-treated nets in Kinshasa and in 11 provinces of the Democratic Republic of Congo. Malar J. 2020; 19: 169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193383/,World Health Organization
IR000051165,Mali,ML,Bamako,Commune Iii,Bamako,IRML1,12.65001,-7.99986,"CDC bottle bioassay, adults",Pyrethroids,21.5µg,1,Permethrin,2016,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,34,N/A,Not available,Sovi et al. (2020) Anopheles gambiae (s.l.) exhibit high intensity pyrethroid resistance throughout Southern and Central Mali (2016–2018): PBO or next generation LLINs may provide greater control. Parasit Vectors. 2020; 13: 239.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206711/,World Health Organization
IR000051175,Mali,ML,Bamako,Commune Iii,Bamako,IRML1,12.65001,-7.99986,"CDC bottle bioassay, adults",Pyrethroids,62.5µg,5,Deltamethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,54,Moderate to high intensity,Not available,Sovi et al. (2020) Anopheles gambiae (s.l.) exhibit high intensity pyrethroid resistance throughout Southern and Central Mali (2016–2018): PBO or next generation LLINs may provide greater control. Parasit Vectors. 2020; 13: 239.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206711/,World Health Organization
IR000051182,Mali,ML,Mopti,Bandiagara,Bandiagara,IRML4,14.348948,-3.609117,"CDC bottle bioassay, adults",Pyrethroids,215µg,10,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,undefined,72,High intensity,Not available,Sovi et al. (2020) Anopheles gambiae (s.l.) exhibit high intensity pyrethroid resistance throughout Southern and Central Mali (2016–2018): PBO or next generation LLINs may provide greater control. Parasit Vectors. 2020; 13: 239.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206711/,World Health Organization
